,data,program,stor,writ,video,visual,digital,edit,event,business,daily,report,research,idea,social,knowledge,experience,team,responsibilit,local,national
data,17,7,14,13,4,9,5,12,5,9,2,12,9,7,8,10,16,17,12,4,13
program,7,7,7,5,1,4,2,3,2,3,1,4,4,2,3,4,7,7,6,2,5
stor,14,7,14,11,1,9,3,9,4,7,2,9,7,6,6,8,14,14,10,4,10
writ,13,5,11,13,3,7,4,10,4,6,2,10,7,6,6,8,12,13,10,3,9
video,4,1,1,3,4,1,2,4,1,2,0,4,2,2,3,3,3,4,2,0,4
visual,9,4,9,7,1,9,3,8,2,4,2,7,5,6,5,5,9,9,6,2,7
digital,5,2,3,4,2,3,5,5,2,3,2,5,4,2,3,3,5,5,4,1,4
edit,12,3,9,10,4,8,5,12,3,5,2,11,7,7,7,7,11,12,8,2,10
event,5,2,4,4,1,2,2,3,5,2,2,3,4,2,1,1,4,5,4,2,4
business,9,3,7,6,2,4,3,5,2,9,1,6,3,3,4,6,9,9,6,3,7
daily,2,1,2,2,0,2,2,2,2,1,2,2,2,1,1,0,2,2,2,1,2
report,12,4,9,10,4,7,5,11,3,6,2,12,7,7,7,8,11,12,9,2,11
research,9,4,7,7,2,5,4,7,4,3,2,7,9,4,3,5,8,9,9,1,8
idea,7,2,6,6,2,6,2,7,2,3,1,7,4,7,3,4,6,7,5,1,6
social,8,3,6,6,3,5,3,7,1,4,1,7,3,3,8,5,8,8,4,2,7
knowledge,10,4,8,8,3,5,3,7,1,6,0,8,5,4,5,10,10,10,7,1,8
experience,16,7,14,12,3,9,5,11,4,9,2,11,8,6,8,10,16,16,11,4,12
team,17,7,14,13,4,9,5,12,5,9,2,12,9,7,8,10,16,17,12,4,13
responsibilit,12,6,10,10,2,6,4,8,4,6,2,9,9,5,4,7,11,12,12,2,10
local,4,2,4,3,0,2,1,2,2,3,1,2,1,1,2,1,4,4,2,4,2
national,13,5,10,9,4,7,4,10,4,7,2,11,8,6,7,8,12,13,10,2,13
